month;day;hour;number;radiation;Temp
1;1;1;1;0;3.0
1;1;2;2;0;3.0
1;1;3;3;0;3.6
1;1;4;4;0;3.1
1;1;5;5;0;2.8
1;1;6;6;0;2.5
1;1;7;7;0;2.2
1;1;8;8;0;2.1
1;1;9;9;0;1.9
1;1;10;10;11;2.0
1;1;11;11;72;2.5
1;1;12;12;100;2.8
1;1;13;13;83;2.8
1;1;14;14;67;2.8
1;1;15;15;37;2.7
1;1;16;16;3;2.4
1;1;17;17;0;2.2
1;1;18;18;0;1.9
1;1;19;19;0;1.6
1;1;20;20;0;1.3
1;1;21;21;0;0.9
1;1;22;22;0;0.7
1;1;23;23;0;0.5
1;1;24;24;0;0.2
1;2;1;25;0;-0.2
1;2;2;26;0;-0.6
1;2;3;27;0;-1.0
1;2;4;28;0;-1.4
1;2;5;29;0;-1.6
1;2;6;30;0;-1.8
1;2;7;31;0;-2.1
1;2;8;32;0;-2.2
1;2;9;33;0;-2.4
1;2;10;34;3;-2.3
1;2;11;35;8;-2.3
1;2;12;36;103;-1.1
1;2;13;37;115;-0.4
1;2;14;38;102;-0.1
1;2;15;39;44;-0.4
1;2;16;40;8;-0.9
1;2;17;41;0;-1.0
1;2;18;42;0;-1.0
1;2;19;43;0;-1.0
1;2;20;44;0;-1.0
1;2;21;45;0;-1.1
1;2;22;46;0;-1.1
1;2;23;47;0;-1.1
1;2;24;48;0;-1.2
1;3;1;49;0;-1.0
1;3;2;50;0;-0.9
1;3;3;51;0;-0.7
1;3;4;52;0;-0.6
1;3;5;53;0;-0.5
1;3;6;54;0;-0.4
1;3;7;55;0;-0.3
1;3;8;56;0;-0.2
1;3;9;57;0;-0.2
1;3;10;58;3;0.0
1;3;11;59;9;0.3
1;3;12;60;13;0.6
1;3;13;61;15;0.8
1;3;14;62;12;0.9
1;3;15;63;9;0.9
1;3;16;64;3;0.8
1;3;17;65;0;0.6
1;3;18;66;0;0.6
1;3;19;67;0;0.7
1;3;20;68;0;0.7
1;3;21;69;0;0.5
1;3;22;70;0;0.3
1;3;23;71;0;0.4
1;3;24;72;0;-0.1
1;4;1;73;0;0.1
1;4;2;74;0;-0.3
1;4;3;75;0;-0.8
1;4;4;76;0;-1.7
1;4;5;77;0;-1.0
1;4;6;78;0;-1.1
1;4;7;79;0;-1.2
1;4;8;80;0;-1.3
1;4;9;81;0;-1.6
1;4;10;82;2;-1.6
1;4;11;83;8;-1.7
1;4;12;84;12;-1.8
1;4;13;85;15;-1.9
1;4;14;86;12;-2.0
1;4;15;87;8;-1.8
1;4;16;88;3;-1.8
1;4;17;89;0;-2.0
1;4;18;90;0;-2.3
1;4;19;91;0;-2.2
1;4;20;92;0;-2.3
1;4;21;93;0;-2.5
1;4;22;94;0;-2.6
1;4;23;95;0;-2.8
1;4;24;96;0;-2.9
1;5;1;97;0;-3.3
1;5;2;98;0;-3.7
1;5;3;99;0;-4.2
1;5;4;100;0;-4.6
1;5;5;101;0;-4.8
1;5;6;102;0;-5.0
